ROI,Sequence,Approach,MD
Splenium,NowLteDetuned,QTI,0.78014374
Splenium,NowLteDetuned,QTI,0.78049845
Splenium,NowLteDetuned,QTI,0.7992448
Splenium,NowLteDetuned,QTI,0.8415468
Splenium,NowLteDetuned,QTI,0.7697528
Splenium,NowLteDetuned,QTI,0.9096157
Splenium,NowLteDetuned,QTI,1.2983093
Splenium,NowLteDetuned,QTI,1.3382523
Splenium,NowLteDetuned,QTI,1.1441076
Splenium,NowLteDetuned,QTI,0.92545205
Splenium,NowLteDetuned,QTI,0.72675306
Splenium,NowLteDetuned,QTI,0.73766804
Splenium,NowLteDetuned,QTI,0.79057866
Splenium,NowLteDetuned,QTI,0.826362
Splenium,NowLteDetuned,QTI,1.5922772
Splenium,NowLteDetuned,QTI,1.2193844
Splenium,NowLteDetuned,QTI,0.8336999
Splenium,NowLteDetuned,QTI,0.777043
Splenium,NowLteDetuned,QTI,0.7753024
Splenium,NowLteDetuned,QTI,0.80932903
Splenium,NowLteDetuned,QTI,1.526752
Splenium,NowLteDetuned,QTI,0.93737036
Splenium,NowLteDetuned,QTI,0.8116667
Splenium,NowLteDetuned,QTI,0.7459868
Splenium,NowLteDetuned,QTI,0.78213614
Splenium,NowLteDetuned,QTI,0.8119204
Splenium,NowLteDetuned,QTI,1.9021918
Splenium,NowLteDetuned,QTI,0.9280186
Splenium,NowLteDetuned,QTI,0.71862924
Splenium,NowLteDetuned,QTI,0.77211756
Splenium,NowLteDetuned,QTI,0.8071528
Splenium,NowLteDetuned,QTI,1.0434637
Splenium,NowLteDetuned,QTI,0.8046561
Splenium,NowLteDetuned,QTI,0.6897647
Splenium,NowLteDetuned,QTI,0.7331781
Splenium,NowLteDetuned,QTI,0.743503
Splenium,NowLteDetuned,QTI,1.0483924
Splenium,NowLteDetuned,QTI,0.80603504
Splenium,NowLteDetuned,QTI,0.8322783
Splenium,NowLteDetuned,QTI,0.84379965
Splenium,NowLteDetuned,QTI,0.80289257
Splenium,NowLteDetuned,QTI,0.777554
Splenium,NowLteDetuned,QTI,0.93218535
Splenium,NowLteDetuned,QTI,0.91519964
Splenium,NowLteDetuned,QTI,0.89075536
Splenium,NowLteDetuned,QTI,0.83291113
Splenium,NowLteDetuned,QTI,0.79987955
Splenium,NowLteDetuned,QTI,0.6555826
Splenium,NowLteDetuned,QTI,0.8325867
Splenium,NowLteDetuned,QTI,0.9798901
Splenium,NowLteDetuned,QTI,0.9435259
Splenium,NowLteDetuned,QTI,0.8996317
Splenium,NowLteDetuned,QTI,0.8442844
Splenium,NowLteDetuned,QTI,0.8245754
Splenium,NowLteDetuned,QTI,0.8458712
Splenium,NowLteDetuned,QTI,0.83730066
Splenium,NowLteDetuned,QTI,0.7244979
Splenium,NowLteDetuned,QTI,0.8045287
Splenium,NowLteDetuned,QTI,0.8726359
Splenium,NowLteDetuned,QTI,0.82151794
Splenium,NowLteDetuned,QTI,0.7747077
Splenium,NowLteDetuned,QTI,0.78068703
Splenium,NowLteDetuned,QTI,0.7814191
Splenium,NowLteDetuned,QTI,0.7831732
Splenium,NowLteDetuned,QTI,0.7875969
Splenium,NowLteDetuned,QTI,0.790188
Splenium,NowLteDetuned,QTI,1.0201974
Splenium,NowLteDetuned,QTI,0.8045569
Splenium,NowLteDetuned,QTI,0.7916289
Splenium,NowLteDetuned,QTI,0.80700976
Splenium,NowLteDetuned,QTI,0.799164
Splenium,NowLteDetuned,QTI,0.7606097
Splenium,NowLteDetuned,QTI,0.7643318
Splenium,NowLteDetuned,QTI,0.75890493
Splenium,NowLteDetuned,QTI,0.7255285
Splenium,NowLteDetuned,QTI,0.7303145
Splenium,NowLteDetuned,QTI,0.75583935
Splenium,NowLteDetuned,QTI,0.7984451
Splenium,NowLteDetuned,QTI,0.8712974
Splenium,NowLteDetuned,QTI,0.83510935
Splenium,NowLteDetuned,QTI,0.94482213
Splenium,NowLteDetuned,QTI,0.96053535
Splenium,NowLteDetuned,QTI,0.9535662
Splenium,NowLteDetuned,QTI,0.88957834
Splenium,NowLteDetuned,QTI,0.8354944
Splenium,NowLteDetuned,QTI,0.79800636
Splenium,NowLteDetuned,QTI,0.76976043
Splenium,NowLteDetuned,QTI,0.79190344
Splenium,NowLteDetuned,QTI,1.3446395
Splenium,NowLteDetuned,QTI,1.3122021
Splenium,NowLteDetuned,QTI,1.1210859
Splenium,NowLteDetuned,QTI,0.9525492
Splenium,NowLteDetuned,QTI,0.8593508
Splenium,NowLteDetuned,QTI,0.7792865
Splenium,NowLteDetuned,QTI,0.7822575
Splenium,NowLteDetuned,QTI,0.79228836
Splenium,NowLteDetuned,QTI,0.8397709
Splenium,NowLteDetuned,QTI,1.4988067
Splenium,NowLteDetuned,QTI,1.0686808
Splenium,NowLteDetuned,QTI,0.8883269
Splenium,NowLteDetuned,QTI,0.7519704
Splenium,NowLteDetuned,QTI,0.76745933
Splenium,NowLteDetuned,QTI,0.78341734
Splenium,NowLteDetuned,QTI,1.2459434
Splenium,NowLteDetuned,QTI,0.94706833
Splenium,NowLteDetuned,QTI,0.7338356
Splenium,NowLteDetuned,QTI,0.75969595
Splenium,NowLteDetuned,QTI,0.77651244
Splenium,NowLteDetuned,QTI,0.77989024
Splenium,NowLteDetuned,QTI,1.5668983
Splenium,NowLteDetuned,QTI,1.0806354
Splenium,NowLteDetuned,QTI,0.74375516
Splenium,NowLteDetuned,QTI,0.7610337
Splenium,NowLteDetuned,QTI,0.7672921
Splenium,NowLteDetuned,QTI,0.7558922
Splenium,NowLteDetuned,QTI,0.7508767
Splenium,NowLteDetuned,QTI,0.73745424
Splenium,NowLteDetuned,QTI,0.7276292
Splenium,NowLteDetuned,QTI,1.4256164
Splenium,NowLteDetuned,QTI,0.7824624
Splenium,NowLteDetuned,QTI,1.0405738
Splenium,NowLteDetuned,QTI,0.68281966
Splenium,NowLteDetuned,QTI,1.5624732
Splenium,NowLteDetuned,QTI,0.6838216
Splenium,NowLteDetuned,QTI,0.7510962
Splenium,NowLteDetuned,QTI,0.75450015
Splenium,NowLteDetuned,QTI,0.76150167
Splenium,NowLteDetuned,QTI,0.77743477
Splenium,NowLteDetuned,QTI,0.7865933
Splenium,NowLteDetuned,QTI,0.79314893
Splenium,NowLteDetuned,QTI,0.80604005
Splenium,NowLteDetuned,QTI,0.81238616
Splenium,NowLteDetuned,QTI,0.8210179
Splenium,NowLteDetuned,QTI,0.82640976
Splenium,NowLteDetuned,QTI,0.76093894
Splenium,NowLteDetuned,QTI,0.7840243
Splenium,NowLteDetuned,QTI,0.7638123
Splenium,NowLteDetuned,QTI,0.76744413
Splenium,NowLteDetuned,QTI,0.79527795
Splenium,NowLteDetuned,QTI,0.806238
Splenium,NowLteDetuned,QTI,0.7993692
Splenium,NowLteDetuned,QTI,0.80127275
Splenium,NowLteDetuned,QTI,0.79809403
Splenium,NowLteDetuned,QTI,0.7912022
Splenium,NowLteDetuned,QTI,0.78522944
Splenium,NowLteDetuned,QTI,0.76031643
Splenium,NowLteDetuned,QTI,0.7614034
Splenium,NowLteDetuned,QTI,0.7972844
Splenium,NowLteDetuned,QTI,0.80148387
Splenium,NowLteDetuned,QTI,0.77966124
Splenium,NowLteDetuned,QTI,0.7735103
Splenium,NowLteDetuned,QTI,0.7780227
Splenium,NowLteDetuned,QTI,0.79175955
Splenium,NowLteDetuned,QTI,0.9512917
Splenium,NowLteDetuned,QTI,0.91228676
Splenium,NowLteDetuned,QTI,0.82512015
Splenium,NowLteDetuned,QTI,0.7935235
Splenium,NowLteDetuned,QTI,0.8083991
Splenium,NowLteDetuned,QTI,0.8270509
Splenium,NowLteDetuned,QTI,0.8572125
Splenium,NowLteDetuned,QTI,0.8542554
Splenium,NowLteDetuned,QTI,0.835493
Splenium,NowLteDetuned,QTI,0.8038814
Splenium,NowLteDetuned,QTI,0.77134025
Splenium,NowLteDetuned,QTI,0.7797266
Splenium,NowLteDetuned,QTI,0.8852968
Splenium,NowLteDetuned,QTI,0.8443351
Splenium,NowLteDetuned,QTI,0.9745793
Splenium,NowLteDetuned,QTI,1.0155721
Splenium,NowLteDetuned,QTI,1.0136741
Splenium,NowLteDetuned,QTI,0.9545745
Splenium,NowLteDetuned,QTI,0.8958652
Splenium,NowLteDetuned,QTI,0.82694125
Splenium,NowLteDetuned,QTI,0.7583026
Splenium,NowLteDetuned,QTI,0.7659468
Splenium,NowLteDetuned,QTI,0.7816274
Splenium,NowLteDetuned,QTI,0.81964606
Splenium,NowLteDetuned,QTI,1.3226124
Splenium,NowLteDetuned,QTI,1.1341485
Splenium,NowLteDetuned,QTI,0.945415
Splenium,NowLteDetuned,QTI,0.8223981
Splenium,NowLteDetuned,QTI,0.71509874
Splenium,NowLteDetuned,QTI,0.7290941
Splenium,NowLteDetuned,QTI,0.746359
Splenium,NowLteDetuned,QTI,0.7919696
Splenium,NowLteDetuned,QTI,1.0314115
Splenium,NowLteDetuned,QTI,0.8420765
Splenium,NowLteDetuned,QTI,0.692682
Splenium,NowLteDetuned,QTI,0.7055482
Splenium,NowLteDetuned,QTI,0.72196585
Splenium,NowLteDetuned,QTI,0.76503223
Splenium,NowLteDetuned,QTI,1.7149036
Splenium,NowLteDetuned,QTI,1.1871029
Splenium,NowLteDetuned,QTI,0.9120222
Splenium,NowLteDetuned,QTI,0.70807594
Splenium,NowLteDetuned,QTI,0.7221855
Splenium,NowLteDetuned,QTI,0.7358398
Splenium,NowLteDetuned,QTI,0.75121284
