ROI,Sequence,Approach,OP
Splenium,NowLteDetuned,QTI,0.7384495
Splenium,NowLteDetuned,QTI,0.7310627
Splenium,NowLteDetuned,QTI,0.7150062
Splenium,NowLteDetuned,QTI,0.70005137
Splenium,NowLteDetuned,QTI,0.34839472
Splenium,NowLteDetuned,QTI,0.5510784
Splenium,NowLteDetuned,QTI,0.66676295
Splenium,NowLteDetuned,QTI,0.68531543
Splenium,NowLteDetuned,QTI,0.69391143
Splenium,NowLteDetuned,QTI,0.6786391
Splenium,NowLteDetuned,QTI,0.7018739
Splenium,NowLteDetuned,QTI,0.7347539
Splenium,NowLteDetuned,QTI,0.7119093
Splenium,NowLteDetuned,QTI,0.67840993
Splenium,NowLteDetuned,QTI,0.5324472
Splenium,NowLteDetuned,QTI,0.51868975
Splenium,NowLteDetuned,QTI,0.61045754
Splenium,NowLteDetuned,QTI,0.7157459
Splenium,NowLteDetuned,QTI,0.69678354
Splenium,NowLteDetuned,QTI,0.65985274
Splenium,NowLteDetuned,QTI,0.5358425
Splenium,NowLteDetuned,QTI,0.5425008
Splenium,NowLteDetuned,QTI,0.7093742
Splenium,NowLteDetuned,QTI,0.68472886
Splenium,NowLteDetuned,QTI,0.64398444
Splenium,NowLteDetuned,QTI,0.55388206
Splenium,NowLteDetuned,QTI,0.45092443
Splenium,NowLteDetuned,QTI,0.54930496
Splenium,NowLteDetuned,QTI,0.6602254
Splenium,NowLteDetuned,QTI,0.6252713
Splenium,NowLteDetuned,QTI,0.5526884
Splenium,NowLteDetuned,QTI,0.4647615
Splenium,NowLteDetuned,QTI,0.62797934
Splenium,NowLteDetuned,QTI,0.46740025
Splenium,NowLteDetuned,QTI,0.57011896
Splenium,NowLteDetuned,QTI,0.5391061
Splenium,NowLteDetuned,QTI,0.5369787
Splenium,NowLteDetuned,QTI,0.49349394
Splenium,NowLteDetuned,QTI,0.4208874
Splenium,NowLteDetuned,QTI,0.54316723
Splenium,NowLteDetuned,QTI,0.66622174
Splenium,NowLteDetuned,QTI,0.79091614
Splenium,NowLteDetuned,QTI,0.3428445
Splenium,NowLteDetuned,QTI,0.4552027
Splenium,NowLteDetuned,QTI,0.54657304
Splenium,NowLteDetuned,QTI,0.6445586
Splenium,NowLteDetuned,QTI,0.7565691
Splenium,NowLteDetuned,QTI,0.8200858
Splenium,NowLteDetuned,QTI,0.18148613
Splenium,NowLteDetuned,QTI,0.34903383
Splenium,NowLteDetuned,QTI,0.4939682
Splenium,NowLteDetuned,QTI,0.5721084
Splenium,NowLteDetuned,QTI,0.6446696
Splenium,NowLteDetuned,QTI,0.7281289
Splenium,NowLteDetuned,QTI,0.7681046
Splenium,NowLteDetuned,QTI,0.7425335
Splenium,NowLteDetuned,QTI,0.73899055
Splenium,NowLteDetuned,QTI,0.19439486
Splenium,NowLteDetuned,QTI,0.38117468
Splenium,NowLteDetuned,QTI,0.54462814
Splenium,NowLteDetuned,QTI,0.66180766
Splenium,NowLteDetuned,QTI,0.7372935
Splenium,NowLteDetuned,QTI,0.75375503
Splenium,NowLteDetuned,QTI,0.7617133
Splenium,NowLteDetuned,QTI,0.7533161
Splenium,NowLteDetuned,QTI,0.7434747
Splenium,NowLteDetuned,QTI,0.7354398
Splenium,NowLteDetuned,QTI,0.15105732
Splenium,NowLteDetuned,QTI,0.1848835
Splenium,NowLteDetuned,QTI,0.40434223
Splenium,NowLteDetuned,QTI,0.5802456
Splenium,NowLteDetuned,QTI,0.70152396
Splenium,NowLteDetuned,QTI,0.76544255
Splenium,NowLteDetuned,QTI,0.7519048
Splenium,NowLteDetuned,QTI,0.7516653
Splenium,NowLteDetuned,QTI,0.7662645
Splenium,NowLteDetuned,QTI,0.75107884
Splenium,NowLteDetuned,QTI,0.7256511
Splenium,NowLteDetuned,QTI,0.5849326
Splenium,NowLteDetuned,QTI,0.15306556
Splenium,NowLteDetuned,QTI,0.5760921
Splenium,NowLteDetuned,QTI,0.6449804
Splenium,NowLteDetuned,QTI,0.6753268
Splenium,NowLteDetuned,QTI,0.6602664
Splenium,NowLteDetuned,QTI,0.6889666
Splenium,NowLteDetuned,QTI,0.7260148
Splenium,NowLteDetuned,QTI,0.71334404
Splenium,NowLteDetuned,QTI,0.6922548
Splenium,NowLteDetuned,QTI,0.56887263
Splenium,NowLteDetuned,QTI,0.55072075
Splenium,NowLteDetuned,QTI,0.53807855
Splenium,NowLteDetuned,QTI,0.6053724
Splenium,NowLteDetuned,QTI,0.68386495
Splenium,NowLteDetuned,QTI,0.6739765
Splenium,NowLteDetuned,QTI,0.65584093
Splenium,NowLteDetuned,QTI,0.55589926
Splenium,NowLteDetuned,QTI,0.45366085
Splenium,NowLteDetuned,QTI,0.34760225
Splenium,NowLteDetuned,QTI,0.50607264
Splenium,NowLteDetuned,QTI,0.6373279
Splenium,NowLteDetuned,QTI,0.6362279
Splenium,NowLteDetuned,QTI,0.6264621
Splenium,NowLteDetuned,QTI,0.5533593
Splenium,NowLteDetuned,QTI,0.47058913
Splenium,NowLteDetuned,QTI,0.57640845
Splenium,NowLteDetuned,QTI,0.5910634
Splenium,NowLteDetuned,QTI,0.59681994
Splenium,NowLteDetuned,QTI,0.5546785
Splenium,NowLteDetuned,QTI,0.4906104
Splenium,NowLteDetuned,QTI,0.36530685
Splenium,NowLteDetuned,QTI,0.46140975
Splenium,NowLteDetuned,QTI,0.5091478
Splenium,NowLteDetuned,QTI,0.5399845
Splenium,NowLteDetuned,QTI,0.52168226
Splenium,NowLteDetuned,QTI,0.47458297
Splenium,NowLteDetuned,QTI,0.37097088
Splenium,NowLteDetuned,QTI,0.493231
Splenium,NowLteDetuned,QTI,0.5106623
Splenium,NowLteDetuned,QTI,0.38617945
Splenium,NowLteDetuned,QTI,0.386614
Splenium,NowLteDetuned,QTI,0.46164173
Splenium,NowLteDetuned,QTI,0.4640502
Splenium,NowLteDetuned,QTI,0.4411149
Splenium,NowLteDetuned,QTI,0.493279
Splenium,NowLteDetuned,QTI,0.40779635
Splenium,NowLteDetuned,QTI,0.38811454
Splenium,NowLteDetuned,QTI,0.4954579
Splenium,NowLteDetuned,QTI,0.6639061
Splenium,NowLteDetuned,QTI,0.78139937
Splenium,NowLteDetuned,QTI,0.31074983
Splenium,NowLteDetuned,QTI,0.4047237
Splenium,NowLteDetuned,QTI,0.5048524
Splenium,NowLteDetuned,QTI,0.6436656
Splenium,NowLteDetuned,QTI,0.7412498
Splenium,NowLteDetuned,QTI,0.7533491
Splenium,NowLteDetuned,QTI,0.2326452
Splenium,NowLteDetuned,QTI,0.35468847
Splenium,NowLteDetuned,QTI,0.49426877
Splenium,NowLteDetuned,QTI,0.5999213
Splenium,NowLteDetuned,QTI,0.66031516
Splenium,NowLteDetuned,QTI,0.7130703
Splenium,NowLteDetuned,QTI,0.7436604
Splenium,NowLteDetuned,QTI,0.7581873
Splenium,NowLteDetuned,QTI,0.09541644
Splenium,NowLteDetuned,QTI,0.26306555
Splenium,NowLteDetuned,QTI,0.41160664
Splenium,NowLteDetuned,QTI,0.5567628
Splenium,NowLteDetuned,QTI,0.648026
Splenium,NowLteDetuned,QTI,0.6614865
Splenium,NowLteDetuned,QTI,0.6917884
Splenium,NowLteDetuned,QTI,0.7361805
Splenium,NowLteDetuned,QTI,0.75449324
Splenium,NowLteDetuned,QTI,0.759268
Splenium,NowLteDetuned,QTI,0.667397
Splenium,NowLteDetuned,QTI,0.04117035
Splenium,NowLteDetuned,QTI,0.08711702
Splenium,NowLteDetuned,QTI,0.30426374
Splenium,NowLteDetuned,QTI,0.4663711
Splenium,NowLteDetuned,QTI,0.57070655
Splenium,NowLteDetuned,QTI,0.62907344
Splenium,NowLteDetuned,QTI,0.6394058
Splenium,NowLteDetuned,QTI,0.6692303
Splenium,NowLteDetuned,QTI,0.7085697
Splenium,NowLteDetuned,QTI,0.7293238
Splenium,NowLteDetuned,QTI,0.74593526
Splenium,NowLteDetuned,QTI,0.66492754
Splenium,NowLteDetuned,QTI,0.11320847
Splenium,NowLteDetuned,QTI,0.5000192
Splenium,NowLteDetuned,QTI,0.55427957
Splenium,NowLteDetuned,QTI,0.5842797
Splenium,NowLteDetuned,QTI,0.5934883
Splenium,NowLteDetuned,QTI,0.6315084
Splenium,NowLteDetuned,QTI,0.6746806
Splenium,NowLteDetuned,QTI,0.70067626
Splenium,NowLteDetuned,QTI,0.7277814
Splenium,NowLteDetuned,QTI,0.6604159
Splenium,NowLteDetuned,QTI,0.584088
Splenium,NowLteDetuned,QTI,0.44365174
Splenium,NowLteDetuned,QTI,0.511614
Splenium,NowLteDetuned,QTI,0.57029295
Splenium,NowLteDetuned,QTI,0.63048923
Splenium,NowLteDetuned,QTI,0.66076255
Splenium,NowLteDetuned,QTI,0.69119126
Splenium,NowLteDetuned,QTI,0.62700367
Splenium,NowLteDetuned,QTI,0.55477345
Splenium,NowLteDetuned,QTI,0.4270534
Splenium,NowLteDetuned,QTI,0.5804361
Splenium,NowLteDetuned,QTI,0.6133451
Splenium,NowLteDetuned,QTI,0.64082706
Splenium,NowLteDetuned,QTI,0.5917919
Splenium,NowLteDetuned,QTI,0.5283638
Splenium,NowLteDetuned,QTI,0.41164634
Splenium,NowLteDetuned,QTI,0.4427165
Splenium,NowLteDetuned,QTI,0.5132543
Splenium,NowLteDetuned,QTI,0.5456509
Splenium,NowLteDetuned,QTI,0.5653782
Splenium,NowLteDetuned,QTI,0.5273706
