ROI,Sequence,Approach,FA
Splenium,NowLteDetuned,QTI,0.77710307
Splenium,NowLteDetuned,QTI,0.82381576
Splenium,NowLteDetuned,QTI,0.8015647
Splenium,NowLteDetuned,QTI,0.75965124
Splenium,NowLteDetuned,QTI,0.32979077
Splenium,NowLteDetuned,QTI,0.59963274
Splenium,NowLteDetuned,QTI,0.7162198
Splenium,NowLteDetuned,QTI,0.638654
Splenium,NowLteDetuned,QTI,0.6152483
Splenium,NowLteDetuned,QTI,0.6214053
Splenium,NowLteDetuned,QTI,0.71479446
Splenium,NowLteDetuned,QTI,0.8350948
Splenium,NowLteDetuned,QTI,0.80688494
Splenium,NowLteDetuned,QTI,0.7451912
Splenium,NowLteDetuned,QTI,0.6311249
Splenium,NowLteDetuned,QTI,0.46047387
Splenium,NowLteDetuned,QTI,0.60955906
Splenium,NowLteDetuned,QTI,0.7901742
Splenium,NowLteDetuned,QTI,0.7843969
Splenium,NowLteDetuned,QTI,0.7459479
Splenium,NowLteDetuned,QTI,0.6463474
Splenium,NowLteDetuned,QTI,0.5077171
Splenium,NowLteDetuned,QTI,0.7444953
Splenium,NowLteDetuned,QTI,0.7656834
Splenium,NowLteDetuned,QTI,0.7565461
Splenium,NowLteDetuned,QTI,0.67625177
Splenium,NowLteDetuned,QTI,0.59053767
Splenium,NowLteDetuned,QTI,0.39729285
Splenium,NowLteDetuned,QTI,0.70166475
Splenium,NowLteDetuned,QTI,0.752139
Splenium,NowLteDetuned,QTI,0.67526895
Splenium,NowLteDetuned,QTI,0.5944371
Splenium,NowLteDetuned,QTI,0.6418642
Splenium,NowLteDetuned,QTI,0.5907927
Splenium,NowLteDetuned,QTI,0.7263665
Splenium,NowLteDetuned,QTI,0.68004465
Splenium,NowLteDetuned,QTI,0.68999326
Splenium,NowLteDetuned,QTI,0.5684644
Splenium,NowLteDetuned,QTI,0.46140712
Splenium,NowLteDetuned,QTI,0.590274
Splenium,NowLteDetuned,QTI,0.71789885
Splenium,NowLteDetuned,QTI,0.8362348
Splenium,NowLteDetuned,QTI,0.39532003
Splenium,NowLteDetuned,QTI,0.46629828
Splenium,NowLteDetuned,QTI,0.58822095
Splenium,NowLteDetuned,QTI,0.7044363
Splenium,NowLteDetuned,QTI,0.80644035
Splenium,NowLteDetuned,QTI,0.87099904
Splenium,NowLteDetuned,QTI,0.26227525
Splenium,NowLteDetuned,QTI,0.3922537
Splenium,NowLteDetuned,QTI,0.50801224
Splenium,NowLteDetuned,QTI,0.62058556
Splenium,NowLteDetuned,QTI,0.71519953
Splenium,NowLteDetuned,QTI,0.78525454
Splenium,NowLteDetuned,QTI,0.8264834
Splenium,NowLteDetuned,QTI,0.8240501
Splenium,NowLteDetuned,QTI,0.8212505
Splenium,NowLteDetuned,QTI,0.24348262
Splenium,NowLteDetuned,QTI,0.45209366
Splenium,NowLteDetuned,QTI,0.621015
Splenium,NowLteDetuned,QTI,0.7420588
Splenium,NowLteDetuned,QTI,0.8250591
Splenium,NowLteDetuned,QTI,0.83496904
Splenium,NowLteDetuned,QTI,0.84705114
Splenium,NowLteDetuned,QTI,0.85407686
Splenium,NowLteDetuned,QTI,0.83819145
Splenium,NowLteDetuned,QTI,0.8122527
Splenium,NowLteDetuned,QTI,0.13339765
Splenium,NowLteDetuned,QTI,0.23030461
Splenium,NowLteDetuned,QTI,0.498792
Splenium,NowLteDetuned,QTI,0.6937891
Splenium,NowLteDetuned,QTI,0.7928267
Splenium,NowLteDetuned,QTI,0.85424936
Splenium,NowLteDetuned,QTI,0.84871346
Splenium,NowLteDetuned,QTI,0.8562412
Splenium,NowLteDetuned,QTI,0.88289106
Splenium,NowLteDetuned,QTI,0.8581416
Splenium,NowLteDetuned,QTI,0.813607
Splenium,NowLteDetuned,QTI,0.7014107
Splenium,NowLteDetuned,QTI,0.2219753
Splenium,NowLteDetuned,QTI,0.69405264
Splenium,NowLteDetuned,QTI,0.7294165
Splenium,NowLteDetuned,QTI,0.7436441
Splenium,NowLteDetuned,QTI,0.72762316
Splenium,NowLteDetuned,QTI,0.7744616
Splenium,NowLteDetuned,QTI,0.82978255
Splenium,NowLteDetuned,QTI,0.81778836
Splenium,NowLteDetuned,QTI,0.7905822
Splenium,NowLteDetuned,QTI,0.69761527
Splenium,NowLteDetuned,QTI,0.5739994
Splenium,NowLteDetuned,QTI,0.5604072
Splenium,NowLteDetuned,QTI,0.6573695
Splenium,NowLteDetuned,QTI,0.76912457
Splenium,NowLteDetuned,QTI,0.7767356
Splenium,NowLteDetuned,QTI,0.7681594
Splenium,NowLteDetuned,QTI,0.6985732
Splenium,NowLteDetuned,QTI,0.6240885
Splenium,NowLteDetuned,QTI,0.5290877
Splenium,NowLteDetuned,QTI,0.49536675
Splenium,NowLteDetuned,QTI,0.67960864
Splenium,NowLteDetuned,QTI,0.7318373
Splenium,NowLteDetuned,QTI,0.76072675
Splenium,NowLteDetuned,QTI,0.69002664
Splenium,NowLteDetuned,QTI,0.6159123
Splenium,NowLteDetuned,QTI,0.569923
Splenium,NowLteDetuned,QTI,0.67756796
Splenium,NowLteDetuned,QTI,0.74821657
Splenium,NowLteDetuned,QTI,0.6817461
Splenium,NowLteDetuned,QTI,0.6082911
Splenium,NowLteDetuned,QTI,0.5172564
Splenium,NowLteDetuned,QTI,0.41556776
Splenium,NowLteDetuned,QTI,0.5915615
Splenium,NowLteDetuned,QTI,0.70906746
Splenium,NowLteDetuned,QTI,0.66328573
Splenium,NowLteDetuned,QTI,0.60691726
Splenium,NowLteDetuned,QTI,0.53396046
Splenium,NowLteDetuned,QTI,0.66994077
Splenium,NowLteDetuned,QTI,0.6660378
Splenium,NowLteDetuned,QTI,0.5607956
Splenium,NowLteDetuned,QTI,0.44451097
Splenium,NowLteDetuned,QTI,0.6192302
Splenium,NowLteDetuned,QTI,0.54106337
Splenium,NowLteDetuned,QTI,0.63668334
Splenium,NowLteDetuned,QTI,0.42478684
Splenium,NowLteDetuned,QTI,0.53538406
Splenium,NowLteDetuned,QTI,0.51261544
Splenium,NowLteDetuned,QTI,0.6340386
Splenium,NowLteDetuned,QTI,0.7593776
Splenium,NowLteDetuned,QTI,0.8493146
Splenium,NowLteDetuned,QTI,0.41311908
Splenium,NowLteDetuned,QTI,0.52787703
Splenium,NowLteDetuned,QTI,0.6346522
Splenium,NowLteDetuned,QTI,0.73697656
Splenium,NowLteDetuned,QTI,0.81468105
Splenium,NowLteDetuned,QTI,0.83979464
Splenium,NowLteDetuned,QTI,0.33728346
Splenium,NowLteDetuned,QTI,0.48410004
Splenium,NowLteDetuned,QTI,0.6211324
Splenium,NowLteDetuned,QTI,0.72095674
Splenium,NowLteDetuned,QTI,0.7641364
Splenium,NowLteDetuned,QTI,0.8093799
Splenium,NowLteDetuned,QTI,0.8471041
Splenium,NowLteDetuned,QTI,0.8531114
Splenium,NowLteDetuned,QTI,0.17116866
Splenium,NowLteDetuned,QTI,0.38573557
Splenium,NowLteDetuned,QTI,0.56008387
Splenium,NowLteDetuned,QTI,0.68660253
Splenium,NowLteDetuned,QTI,0.76521164
Splenium,NowLteDetuned,QTI,0.7729143
Splenium,NowLteDetuned,QTI,0.8035847
Splenium,NowLteDetuned,QTI,0.8525547
Splenium,NowLteDetuned,QTI,0.8610243
Splenium,NowLteDetuned,QTI,0.8484625
Splenium,NowLteDetuned,QTI,0.77818644
Splenium,NowLteDetuned,QTI,0.10349655
Splenium,NowLteDetuned,QTI,0.16777019
Splenium,NowLteDetuned,QTI,0.44268715
Splenium,NowLteDetuned,QTI,0.6258532
Splenium,NowLteDetuned,QTI,0.6999188
