ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.059070177
Splenium,NowLteDetuned,QTI,0.03151664
Splenium,NowLteDetuned,QTI,0.03260913
Splenium,NowLteDetuned,QTI,0.041235603
Splenium,NowLteDetuned,QTI,0.12856126
Splenium,NowLteDetuned,QTI,0.09721617
Splenium,NowLteDetuned,QTI,0.089340255
Splenium,NowLteDetuned,QTI,0.11595343
Splenium,NowLteDetuned,QTI,0.12449749
Splenium,NowLteDetuned,QTI,0.11665814
Splenium,NowLteDetuned,QTI,0.079954214
Splenium,NowLteDetuned,QTI,0.032695033
Splenium,NowLteDetuned,QTI,0.034829095
Splenium,NowLteDetuned,QTI,0.0459022
Splenium,NowLteDetuned,QTI,0.07108614
Splenium,NowLteDetuned,QTI,0.1266464
Splenium,NowLteDetuned,QTI,0.10378929
Splenium,NowLteDetuned,QTI,0.07095715
Splenium,NowLteDetuned,QTI,0.052311227
Splenium,NowLteDetuned,QTI,0.039356094
Splenium,NowLteDetuned,QTI,0.06298488
Splenium,NowLteDetuned,QTI,0.12703872
Splenium,NowLteDetuned,QTI,0.113101475
Splenium,NowLteDetuned,QTI,0.06566036
Splenium,NowLteDetuned,QTI,0.024839628
Splenium,NowLteDetuned,QTI,0.048054136
Splenium,NowLteDetuned,QTI,0.05927241
Splenium,NowLteDetuned,QTI,0.14644821
Splenium,NowLteDetuned,QTI,0.07949573
Splenium,NowLteDetuned,QTI,0.022842254
Splenium,NowLteDetuned,QTI,0.049577273
Splenium,NowLteDetuned,QTI,0.05999607
Splenium,NowLteDetuned,QTI,0.08603855
Splenium,NowLteDetuned,QTI,0.06167422
Splenium,NowLteDetuned,QTI,0.01818341
Splenium,NowLteDetuned,QTI,0.035688818
Splenium,NowLteDetuned,QTI,0.025559064
Splenium,NowLteDetuned,QTI,0.07740723
Splenium,NowLteDetuned,QTI,0.16784151
Splenium,NowLteDetuned,QTI,0.16196132
Splenium,NowLteDetuned,QTI,0.15017834
Splenium,NowLteDetuned,QTI,0.120329894
Splenium,NowLteDetuned,QTI,0.11643072
Splenium,NowLteDetuned,QTI,0.18309985
Splenium,NowLteDetuned,QTI,0.15446186
Splenium,NowLteDetuned,QTI,0.12525457
Splenium,NowLteDetuned,QTI,0.088207856
Splenium,NowLteDetuned,QTI,0.062453616
Splenium,NowLteDetuned,QTI,0.04237776
Splenium,NowLteDetuned,QTI,0.11269313
Splenium,NowLteDetuned,QTI,0.16775438
Splenium,NowLteDetuned,QTI,0.13407809
Splenium,NowLteDetuned,QTI,0.09585304
Splenium,NowLteDetuned,QTI,0.05558537
Splenium,NowLteDetuned,QTI,0.03308019
Splenium,NowLteDetuned,QTI,0.030643722
Splenium,NowLteDetuned,QTI,0.031460863
Splenium,NowLteDetuned,QTI,0.05446416
Splenium,NowLteDetuned,QTI,0.075208366
Splenium,NowLteDetuned,QTI,0.0948973
Splenium,NowLteDetuned,QTI,0.0834091
Splenium,NowLteDetuned,QTI,0.06375559
Splenium,NowLteDetuned,QTI,0.039987482
Splenium,NowLteDetuned,QTI,0.028096369
Splenium,NowLteDetuned,QTI,0.027378187
Splenium,NowLteDetuned,QTI,0.025827222
Splenium,NowLteDetuned,QTI,0.025942344
Splenium,NowLteDetuned,QTI,0.12900837
Splenium,NowLteDetuned,QTI,0.08182721
Splenium,NowLteDetuned,QTI,0.06225396
Splenium,NowLteDetuned,QTI,0.054092158
Splenium,NowLteDetuned,QTI,0.055398658
Splenium,NowLteDetuned,QTI,0.04968279
Splenium,NowLteDetuned,QTI,0.037739776
Splenium,NowLteDetuned,QTI,0.030663026
Splenium,NowLteDetuned,QTI,0.027394371
Splenium,NowLteDetuned,QTI,0.02011757
Splenium,NowLteDetuned,QTI,0.014401087
Splenium,NowLteDetuned,QTI,0.03519284
Splenium,NowLteDetuned,QTI,0.10908571
Splenium,NowLteDetuned,QTI,0.05164115
Splenium,NowLteDetuned,QTI,0.058366157
Splenium,NowLteDetuned,QTI,0.0678102
Splenium,NowLteDetuned,QTI,0.07771867
Splenium,NowLteDetuned,QTI,0.06847202
Splenium,NowLteDetuned,QTI,0.05453127
Splenium,NowLteDetuned,QTI,0.038754873
Splenium,NowLteDetuned,QTI,0.025375845
Splenium,NowLteDetuned,QTI,0.03558676
