ROI,Sequence,Approach,FA
Splenium,dti,dti,0.81103504
Splenium,dti,dti,0.21513897
Splenium,dti,dti,0.31481326
Splenium,dti,dti,0.43107295
Splenium,dti,dti,0.56608176
Splenium,dti,dti,0.66058135
Splenium,dti,dti,0.73083365
Splenium,dti,dti,0.77665496
Splenium,dti,dti,0.81336987
Splenium,dti,dti,0.81565857
Splenium,dti,dti,0.81274027
Splenium,dti,dti,0.124420896
Splenium,dti,dti,0.21174452
Splenium,dti,dti,0.3841175
Splenium,dti,dti,0.53284925
Splenium,dti,dti,0.660181
Splenium,dti,dti,0.7216066
Splenium,dti,dti,0.742119
Splenium,dti,dti,0.7701978
Splenium,dti,dti,0.79998523
Splenium,dti,dti,0.8079707
Splenium,dti,dti,0.8128848
Splenium,dti,dti,0.7676428
Splenium,dti,dti,0.22060035
Splenium,dti,dti,0.62289274
Splenium,dti,dti,0.72434086
Splenium,dti,dti,0.7507229
Splenium,dti,dti,0.7298537
Splenium,dti,dti,0.7496633
Splenium,dti,dti,0.781459
Splenium,dti,dti,0.7978094
Splenium,dti,dti,0.81209844
Splenium,dti,dti,0.7646008
Splenium,dti,dti,0.65363675
Splenium,dti,dti,0.61272913
Splenium,dti,dti,0.6583737
Splenium,dti,dti,0.7303484
Splenium,dti,dti,0.7687591
Splenium,dti,dti,0.8022052
Splenium,dti,dti,0.75306803
Splenium,dti,dti,0.698867
Splenium,dti,dti,0.6102159
Splenium,dti,dti,0.5686742
Splenium,dti,dti,0.6796521
Splenium,dti,dti,0.7366348
Splenium,dti,dti,0.7854752
Splenium,dti,dti,0.7365227
Splenium,dti,dti,0.68516487
Splenium,dti,dti,0.62708515
Splenium,dti,dti,0.6891347
Splenium,dti,dti,0.7392965
Splenium,dti,dti,0.69678736
Splenium,dti,dti,0.6533051
Splenium,dti,dti,0.60467845
Splenium,dti,dti,0.55196106
Splenium,dti,dti,0.6362848
Splenium,dti,dti,0.7087155
Splenium,dti,dti,0.6786458
Splenium,dti,dti,0.6469778
Splenium,dti,dti,0.6088255
Splenium,dti,dti,0.70673746
Splenium,dti,dti,0.70224124
Splenium,dti,dti,0.65001494
Splenium,dti,dti,0.51367134
Splenium,dti,dti,0.6967387
Splenium,dti,dti,0.66671073
Splenium,dti,dti,0.6709133
Splenium,dti,dti,0.55075383
Splenium,dti,dti,0.31799883
Splenium,dti,dti,0.3528158
Splenium,dti,dti,0.48429096
Splenium,dti,dti,0.62092924
Splenium,dti,dti,0.7161059
Splenium,dti,dti,0.2984897
Splenium,dti,dti,0.42118096
Splenium,dti,dti,0.5443738
Splenium,dti,dti,0.6678602
Splenium,dti,dti,0.74586904
Splenium,dti,dti,0.80669075
Splenium,dti,dti,0.2772204
Splenium,dti,dti,0.3750302
Splenium,dti,dti,0.5017044
Splenium,dti,dti,0.6139907
Splenium,dti,dti,0.717972
Splenium,dti,dti,0.77663887
Splenium,dti,dti,0.8183723
Splenium,dti,dti,0.8259362
Splenium,dti,dti,0.20474064
Splenium,dti,dti,0.347059
Splenium,dti,dti,0.49241996
Splenium,dti,dti,0.6412407
Splenium,dti,dti,0.72690797
Splenium,dti,dti,0.7734823
Splenium,dti,dti,0.79799426
Splenium,dti,dti,0.81441647
Splenium,dti,dti,0.8243958
Splenium,dti,dti,0.83314365
Splenium,dti,dti,0.7873003
Splenium,dti,dti,0.11343664
Splenium,dti,dti,0.21622753
Splenium,dti,dti,0.42444733
Splenium,dti,dti,0.60595685
Splenium,dti,dti,0.76004803
Splenium,dti,dti,0.8141556
